"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Bench Press (Dumbbell)";"1";"9.071847400000001";"20";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Bench Press (Dumbbell)";"2";"13.6077711";"15";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Bench Press (Dumbbell)";"3";"15.875732950000002";"15";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Bench Press (Dumbbell)";"4";"15.875732950000002";"12";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Bench Press (Dumbbell)";"5";"15.875732950000002";"12";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Chest Fly (Dumbbell)";"1";"6.80388555";"15";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Chest Fly (Dumbbell)";"2";"6.80388555";"15";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Chest Fly (Dumbbell)";"3";"6.80388555";"15";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Chest Fly (Dumbbell)";"4";"6.80388555";"15";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Bench Press - Close Grip (Barbell)";"1";"20.41165665";"15";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Bench Press - Close Grip (Barbell)";"2";"20.41165665";"15";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Bench Press - Close Grip (Barbell)";"3";"20.41165665";"15";"";"";"";"";""
"1";"2021-04-22 04:10:00";"Morning Workout";"3000";"Triceps Dip (Assisted)";"1";"40.8233133";"15";"";"";"";"";""
